00370a19 g_flMaterial1EmissiveLevel
003f43b9 TextureNormalDetail
003f8ec2 g_tLayer4Color
0091d020 g_flGlassFogExtinctionAmount
00a9c449 CubemapFogConstantBuffer_t
00e054ef g_flNormalTexCoordScrollSpeedX3
00e66fea GlassDustTranslucency
00e7f872 g_tSelfIllumMask
0114d95a g_flBrightnessExposureBias
011a5377 TextureFresnelEmission
01218f63 TextureInsideMouth
01605b05 g_flOutsideWallFadeHardness
016ec97d g_vBlurTint4
017c7792 g_bLayer4PunchIn
01860466 g_vEdgeColor
019cac1d g_tLayer4Roughness
01a1f644 g_vTextureDim
01bbdd90 g_tSpecBuffer
01c46206 g_tIrradBoundaryTexture
021641b5 g_bAllowGlobalColorTintLayer3
021a2bb5 g_tLightProbeVolumeTexture
02599c72 TextureTintMaskA
02779aec g_vDiffuseWrapParameters
0288dec1 g_flAnimation2Scale
02a480b0 g_bShowLPVVoxels
02e4aac7 g_tColorB
02ee7016 g_tVrShadowCache
02f24e3e _BindlessFastEnvMapCB_PS_t
033ef8fc g_tAccentHologramLookup
0363423e g_flWorldSpaceFlowWeight
0379a42b g_flParallaxStrength3
03aa9b34 g_flColorWarp1Influence
03b21264 MipBias
03d16e7d g_nDebugLayers
03eb14df g_flOcclusionStrength
042e6e34 TextureFlowPhase
044bcdcf g_tShadowFalloff
0496935a g_flDiffuseAmount
04bacaf4 g_tEmissiveC
04ff51c2 g_vFogClipmapIndirectBBScale_flIndirectStrength
0509962d g_flBackgroundCubeMapEffectStrength
0514fb78 StencilReadMask
0521dd91 g_tLightmap3
0565de6f g_tGlossiness
05b58d91 g_nDecalSlots
061fc5c5 g_bRenderingToCubemaps
068ecaf2 g_flOcclusionExp
06a12b7a g_flBumpStrength
06b07d42 TextureBackgroundEffectNormal
06d2b059 TextureColorB
06e4b606 g_vXenGlowCenterPos
075b4403 g_vColorTint_Premultiplied
07776012 g_flInkRimPower
0784114d g_flDirectionalLightmapMinZ
07dd3274 TextureFresnel2Color
081f62bb g_tFowTexture
08438966 g_flHeightFadeStart
085a74ae TextureAlbedoAlpha
085cb675 g_tColorWarp3D1
0870c815 g_vAccentEffectCubeMapTint
08a5d62f g_tColor1
08c40ad9 TextureFog
08d404cc SlopeScaleDepthBias
08fcba53 g_tFog
08fd5856 g_tRawSSAO
091bf9f0 TextureBloom2
09374e6e g_tGradients
09446605 g_flTintCycleWorldScale
095f0b45 g_tDetailMask
097f047e g_flBubbleStrength
